index,ground_truth,prediction,correct,edit_distance,gt_length,pred_length
80,DISSEMBLES,DISSEMBLES,True,0,10,10
81,TRANCHES,TRANCHES,True,0,8,8
82,OOHING,OOHING,True,0,6,6
83,ALGOL,ALGOL,True,0,5,5
84,HELIUM,HELIUM,True,0,6,6
85,SHACKLE,SHACKLE,True,0,7,7
86,SANDBLASTER,SANDBLASTER,True,0,11,11
87,NONVOTING,NONVOTING,True,0,9,9
88,NEPOTISTS,NEPOTISTS,True,0,9,9
89,PUSILLANIMOUSLY,PUSILANIMOUSLY,False,1,15,14
90,REVILER,REVILER,True,0,7,7
91,CORPOREALLY,CORPORCELLY,False,2,11,11
92,INSERTING,INSERTING,True,0,9,9
93,JAGUARS,JUGUARS,False,1,7,7
94,AVERAGING,AVERAGING,True,0,9,9
95,CHILLED,CHILLED,True,0,7,7
96,STEELMAKER,STEELMAKER,True,0,10,10
97,MAXILLAE,MAXILIAE,False,1,8,8
98,GALVANOMETER,GALVANOMETER,True,0,12,12
99,DISCOUNTER,DISCOUNTER,True,0,10,10
100,WINEGROWERS,WONULES,False,7,11,7
101,THAR,ELUHE,False,5,4,5
102,POSTMERIDIAN,DEFAGLITANS,False,10,12,11
103,ENCOURAGINGLY,ENCOURAGINGLY,True,0,13,13
104,SCULPTURING,SCULPTURING,True,0,11,11
105,LASSO,LASSO,True,0,5,5
106,SYRUPY,SYRUPY,True,0,6,6
107,PRECONDITION,PRECONDITION,True,0,12,12
108,CIRCUMSCRIBED,ENOMSERIBED,False,6,13,11
109,GLADDEN,GLADDEN,True,0,7,7
110,EKE,EKE,True,0,3,3
111,SPECULATIVELY,SPECULATIVELY,True,0,13,13
112,DAWN,DAWN,True,0,4,4
113,ARMORER,ARMORER,True,0,7,7
114,GAZETTE,GAZETTE,True,0,7,7
115,WOODLANDS,WOODLANDS,True,0,9,9
116,TRIFOCALS,TRIFOCALS,True,0,9,9
117,POOLROOMS,POOLROOMS,True,0,9,9
118,THICKOS,THICKOS,True,0,7,7
119,FEASIBLY,FEASIBLY,True,0,8,8
120,PHOENIXES,PHOENIXES,True,0,9,9
121,SUCCINCTLY,SUCCINCTLY,True,0,10,10
122,CONFIRMATIONS,CONSIRMATIONS,False,1,13,13
123,CLUTTER,CLUTTER,True,0,7,7
124,ELOY,ELON,False,1,4,4
125,MIDYEAR,MIDYEAR,True,0,7,7
126,QADDAFI,QADDAFI,True,0,7,7
127,PEACEKEEPER,PEACEKEEPER,True,0,11,11
128,ALEPPO,ALEPPO,True,0,6,6
129,CELTIC,CELTIC,True,0,6,6
130,SMARTENS,SMURION,False,4,8,7
131,SNOWSHOE,SNOWSHOP,False,1,8,8
132,REGISTRAR,REGISTRAR,True,0,9,9
133,INOCULATES,ATETINES,False,8,10,8
134,BUZZWORD,BUZZWORD,True,0,8,8
135,COUNTRYWOMAN,COUNTRYWOMAN,True,0,12,12
136,BECALMED,BECALMED,True,0,8,8
137,BARNACLES,BARNACLES,True,0,9,9
138,OATHS,OATHS,True,0,5,5
139,EXCELSIOR,EXCELSIOR,True,0,9,9
140,PRACTICABLY,PRACTICABLY,True,0,11,11
141,IMPRESARIOS,IMPRESARIOS,True,0,11,11
142,HATTIE,HATTIE,True,0,6,6
143,DIRTY,DIRTY,True,0,5,5
144,RUNLETS,RUNLETS,True,0,7,7
145,INDECISIVENESS,INDECISIVENESS,True,0,14,14
146,MODIFYING,MODIFYING,True,0,9,9
147,IDYLLIC,IDYLLIC,True,0,7,7
148,RAIDED,RAIDED,True,0,6,6
149,BACKROOM,BACKROOM,True,0,8,8
150,KEITH,KEITH,True,0,5,5
151,SOFTER,SOFLER,False,1,6,6
152,REINVEST,REINVEST,True,0,8,8
153,MOVER,MOVER,True,0,5,5
154,AYAHS,AYAHS,True,0,5,5
155,TARANTELLA,FARANTELLA,False,1,10,10
156,SHELLER,SHELLER,True,0,7,7
157,HIGHLIGHTERS,HIGHLIGHTERS,True,0,12,12
158,PADS,PADS,True,0,4,4
159,SCURRYING,SCURRYING,True,0,9,9
160,CLIQUISH,CLIQUISH,True,0,8,8
161,DISPENSE,DISPENSE,True,0,8,8
162,OFFICES,OFFICES,True,0,7,7
163,ALIGN,ALIGN,True,0,5,5
164,EYELESS,EYELESS,True,0,7,7
165,TORTOISESHELL,TORTOIGESHELL,False,1,13,13
166,FLAGPOLE,FLAGPOLE,True,0,8,8
167,XVII,XVII,True,0,4,4
168,PURGATIVE,PURGATIVE,True,0,9,9
169,COMPOSITE,COMPOSITE,True,0,9,9
170,UNFILLED,UNLILED,False,2,8,7
171,DINS,DINS,True,0,4,4
172,MORTALLY,MORTALLY,True,0,8,8
173,UNABASHEDLY,UNCHASHEDLY,False,2,11,11
174,DAME,DAME,True,0,4,4
175,FORELOCK,FORELOCK,True,0,8,8
176,RIDICULOUSNESS,RIDICULOUSNESS,True,0,14,14
177,NITER,NITER,True,0,5,5
178,UAR,UAR,True,0,3,3
179,KAZAN,KAZAN,True,0,5,5
180,MISDOING,MISDOING,True,0,8,8
181,UNFEMININE,UNFEMININE,True,0,10,10
182,UNIVERSAL,UNIVERSAL,True,0,9,9
183,PARAMETERS,PARAMETERS,True,0,10,10
184,SKEPTICAL,SKEPTICAL,True,0,9,9
185,DEFUSES,DEFUSES,True,0,7,7
186,COCKCHAFER,COCKCHAFER,True,0,10,10
187,DEATHBED,DEATHEED,False,1,8,8
188,FIREBRAND,BIREBRAND,False,1,9,9
189,WARDED,WARDED,True,0,6,6
190,GEOGRAPHIC,GEOGRAPHIC,True,0,10,10
191,SUNDAE,SUNDAE,True,0,6,6
192,UPSIDES,UPSIDES,True,0,7,7
193,CAMPAIGN,CAMPAIGN,True,0,8,8
194,POROUSNESS,POROUSNESS,True,0,10,10
195,BALLOTS,BALLOTS,True,0,7,7
196,FROGMARCHES,PROGMARCHES,False,1,11,11
197,LOBBIES,LOBBIES,True,0,7,7
198,CLASSES,CLASSES,True,0,7,7
199,CONCEPTS,CONCEPTS,True,0,8,8
200,CREATIONISTS,CREATIONISTS,True,0,12,12
201,COMATOSE,COMATOSE,True,0,8,8
202,KNAVISH,KNAVISH,True,0,7,7
203,BORROWINGS,BORROWINGS,True,0,10,10
204,BRIGADES,BRIGADES,True,0,8,8
205,FATHERING,FATHERING,True,0,9,9
206,VICTORIES,VICTORIES,True,0,9,9
207,TELESCOPE,TELESCOPE,True,0,9,9
208,LONELIER,IONELIAX,False,3,8,8
209,TINSELS,TINSELS,True,0,7,7
210,EQUIP,EQUIP,True,0,5,5
211,ISRAELITE,ISRAELITE,True,0,9,9
212,EXECRATION,EXECRATION,True,0,10,10
213,LUCUBRATE,LUCUBRATE,True,0,9,9
214,EDUCING,EDUCING,True,0,7,7
215,BOWDITCH,BOWDITCH,True,0,8,8
216,STRENUOUSLY,STRENUOUSLY,True,0,11,11
217,PHOTOSYNTHESIZING,POWHSKING,False,10,17,9
218,TIMUR,TIMUR,True,0,5,5
219,LOCUMS,LOCUMS,True,0,6,6
220,INCINERATION,INCINERHNLY,False,5,12,11
221,CORDIAL,CORDIAL,True,0,7,7
222,TARN,TARN,True,0,4,4
223,CACKLER,CACKLER,True,0,7,7
224,SIMULCAST,SIMULCAST,True,0,9,9
225,DEIGN,DEIGN,True,0,5,5
226,HEAVENLIEST,HEAVENLIEST,True,0,11,11
227,MILKWEEDS,MILKWEEDS,True,0,9,9
228,BRINE,BRINE,True,0,5,5
229,REFEREEING,REFEREEING,True,0,10,10
230,PROCRASTINATOR,PROCRASTINATOR,True,0,14,14
231,LIVELIER,LIVELIER,True,0,8,8
232,STARFISH,STARFISH,True,0,8,8
233,DARLING,DARLING,True,0,7,7
234,WAISTLINE,WALSTLINE,False,1,9,9
235,POCKETFULS,POCKETFULS,True,0,10,10
236,1701,1701,True,0,4,4
237,MINX,MINX,True,0,4,4
238,HYMN,HYMN,True,0,4,4
239,DUTIFULNESS,DUTIFULNESS,True,0,11,11
240,AIRLIFTS,AIRLIFTS,True,0,8,8
241,CRISSCROSS,CRISSCROSS,True,0,10,10
242,REDISCOVERIES,REDISCOVERIES,True,0,13,13
243,BOOKIE,BOOKIE,True,0,6,6
244,THOUSANDTHS,THOUSANDTHS,True,0,11,11
245,PLEASANTEST,PLEASANTEST,True,0,11,11
246,CONTUSIONS,CONTUSIONS,True,0,10,10
247,DOROUGH,DOROUGH,True,0,7,7
248,PHOBOS,PHOBOS,True,0,6,6
249,AEROFLOT,AEROBLOT,False,1,8,8
250,REUNIFYING,REUNIFYING,True,0,10,10
251,HOOSIER,HOOSIER,True,0,7,7
252,DOGGONE,DOGGONE,True,0,7,7
253,WEIRDEST,WEIRDEST,True,0,8,8
254,BRANDISHES,BRANDISHES,True,0,10,10
255,EXAMINING,EXAMINING,True,0,9,9
256,RWANDA,RWANDA,True,0,6,6
257,SETH,SETH,True,0,4,4
258,WRONGS,WRONGS,True,0,6,6
259,PODDING,PODDING,True,0,7,7
260,TONSURES,TONSURES,True,0,8,8
261,OPIUM,OPIUM,True,0,5,5
262,COUNTERTENORS,COUNTERTENORS,True,0,13,13
263,OXIDIZES,OXIDIZES,True,0,8,8
264,EXTENSIVENESS,EXTENSIVENESS,True,0,13,13
265,PROCESSORS,PROCESSORS,True,0,10,10
266,HETERODOX,HETERODOX,True,0,9,9
267,FIREPROOFING,FIREPROOFING,True,0,12,12
268,ZAPPED,ZAPPED,True,0,6,6
269,MOTTLING,MOTTLING,True,0,8,8
270,SWITZ,SWITZ,True,0,5,5
271,KORANS,KORANS,True,0,6,6
272,LINDER,LINDER,True,0,6,6
273,SADISTS,SADISTS,True,0,7,7
274,CITING,CITING,True,0,6,6
275,MILITANTS,MILITANTS,True,0,9,9
276,TWADDLER,TWADDLER,True,0,8,8
277,ARCHAISTS,ARCHAISTS,True,0,9,9
278,KINFOLKS,KINFOLKS,True,0,8,8
279,JEJUNE,JEJUNE,True,0,6,6
280,MAHABHARATA,MAHABHARATA,True,0,11,11
281,SNEAKIEST,SNEAKIEST,True,0,9,9
282,CONSENSUSES,CONSENSUSES,True,0,11,11
283,STEELWORKS,STEELWORKS,True,0,10,10
284,SAILINGS,SAILINGS,True,0,8,8
285,TAGUS,TAGUS,True,0,5,5
286,BALLYHOOED,BALLYHOOED,True,0,10,10
287,INDONESIANS,INDONESSINRS,False,3,11,12
288,VIVIDNESS,VIVIDNESS,True,0,9,9
289,MANAGERIAL,MANAGERIAL,True,0,10,10
290,MOIL,MOIL,True,0,4,4
291,RIMBAUD,RIMBAUD,True,0,7,7
292,CETUS,CETUS,True,0,5,5
293,ESTELLE,ESTELLE,True,0,7,7
294,UNDERTONES,UNDERTONES,True,0,10,10
295,ALLURINGLY,ALLUNINGLY,False,1,10,10
296,CLINGFILM,MOAS,False,9,9,4
297,INFORMALLY,INFORMALLY,True,0,10,10
298,CONSTRAINTS,CONSTRAINTS,True,0,11,11
299,DODDERING,DODDERING,True,0,9,9
300,LOCALLY,LOCALLY,True,0,7,7
301,ACCUMULATING,ACCUMULATING,True,0,12,12
302,CALLA,CALLA,True,0,5,5
303,INEFFECTIVELY,INEFFECTIVELY,True,0,13,13
304,CLOWNED,CLOWNED,True,0,7,7
305,PULING,PULING,True,0,6,6
306,ASSESS,ASSESS,True,0,6,6
307,POLYTHEISTIC,POLYTHEISTIC,True,0,12,12
308,BROKERAGE,BROKERAGE,True,0,9,9
309,BUCCANEERED,BUCCANEERED,True,0,11,11
310,ELECTROSCOPES,ELECTROSCOPES,True,0,13,13
311,MARTIN,MARTIN,True,0,6,6
312,COMMINGLE,COMMINGLE,True,0,9,9
313,OBSOLESCENT,OBSOLESCENT,True,0,11,11
314,BANDS,BANDS,True,0,5,5
315,STRANGER,STRANGER,True,0,8,8
316,MUTAGEN,MUTAGEN,True,0,7,7
317,LANDMARK,LANDMARK,True,0,8,8
318,EXCISIONS,EXCISIONS,True,0,9,9
319,ENSCONCES,ENSCONCES,True,0,9,9
320,SINUOSITY,SINUOSITY,True,0,9,9
321,DISCRIMINATORY,CNCAMIATORY,False,6,14,11
322,HEARTBREAK,HEARTBREAK,True,0,10,10
323,SIGHT,SIGHT,True,0,5,5
324,STOGIE,STOGIE,True,0,6,6
325,BATAAN,ATAAN,False,1,6,5
326,INFECTIOUS,INFECTIOUS,True,0,10,10
327,TAPAS,TAPAS,True,0,5,5
328,CONCORDATS,CONCORDATS,True,0,10,10
329,BALLSED,BALISED,False,1,7,7
330,CONG,CONG,True,0,4,4
331,FRUITLESSNESS,FRUITLESSNESS,True,0,13,13
332,NEARSIGHTED,NEARSIGHTED,True,0,11,11
333,PANORAMIC,PANORAMIC,True,0,9,9
334,NOTWORK,NOTWORK,True,0,7,7
335,VEND,VEND,True,0,4,4
336,INVADED,INVADED,True,0,7,7
337,MALINGER,MALINGER,True,0,8,8
338,DISCOMBOBULATING,DISCOMBULATING,False,2,16,14
339,CARDSHARPERS,CARDSHARPERS,True,0,12,12
340,WISTERIA,WISTERIA,True,0,8,8
341,PROBOSCES,PROBOSCES,True,0,9,9
342,ADDLING,ADDLING,True,0,7,7
343,RADICCHIO,RADICCHIO,True,0,9,9
344,DROWNED,DROWNED,True,0,7,7
345,CALFSKIN,CALFSKIN,True,0,8,8
346,FRACTURE,FRACTURE,True,0,8,8
347,EXCHANGE,EXCHANGE,True,0,8,8
348,TAMPERERS,TAMPERERS,True,0,9,9
349,SYNOPSIS,SYNOPSIS,True,0,8,8
350,DEDICATING,DEDICATING,True,0,10,10
351,MAULERS,MAULERS,True,0,7,7
352,TELEMARKETING,TELEMARKETING,True,0,13,13
353,STINGRAY,STINGRAY,True,0,8,8
354,CORKED,CORKED,True,0,6,6
355,ROSTOV,ROSTOV,True,0,6,6
356,TRITE,TRITE,True,0,5,5
357,CODES,CODES,True,0,5,5
358,NAYSAYER,NAYSAYER,True,0,8,8
359,UNPRECEDENTEDLY,UNFRECEDENTELLY,False,2,15,15
360,EVENHANDEDLY,EUEMMANDEODLY,False,4,12,13
361,SAVORING,SAVORING,True,0,8,8
362,JACKKNIFE,JACKKNIFE,True,0,9,9
363,MOMENTS,MOMENTS,True,0,7,7
364,ISTHMIAN,ISTHMIAN,True,0,8,8
365,RECALCULATION,RECALCULATION,True,0,13,13
366,GENIUS,GENIUS,True,0,6,6
367,PALSIES,PALSIES,True,0,7,7
368,IMPRINTED,IMPRINTED,True,0,9,9
369,ZION,ZION,True,0,4,4
370,SODOMIZE,SODOMIZE,True,0,8,8
371,CONTRARINESS,CONTRARINESS,True,0,12,12
372,GUTSY,GUTSY,True,0,5,5
373,GYPS,GYPS,True,0,4,4
374,ERGOT,ERGOT,True,0,5,5
375,DISCIPLINARY,DISCIBLINARY,False,1,12,12
376,WORDBOOKS,WORDBOOKS,True,0,9,9
377,WARDER,WARDER,True,0,6,6
378,CHARACTERIZE,CHARACTERIZE,True,0,12,12
379,ABBOTT,ABBOTT,True,0,6,6
380,PAPER,PAPER,True,0,5,5
381,CONVOCATIONS,CONJOCATIONS,False,1,12,12
382,ABDUL,ABDUL,True,0,5,5
383,SIDED,SIDED,True,0,5,5
384,NATHANS,NATHANS,True,0,7,7
385,TEETOTALER,TEETOTALER,True,0,10,10
386,IRELAND,IRELAND,True,0,7,7
387,TRENCHERMEN,TRENCHERMEN,True,0,11,11
388,DAVE,DAYE,False,1,4,4
389,NOB,NOB,True,0,3,3
390,GUIDER,AEAS,False,6,6,4
391,HANDCARS,HANDCARS,True,0,8,8
392,TROUNCE,TROUNCE,True,0,7,7
393,CHOU,CHOU,True,0,4,4
394,HUCKSTERS,HUCKSTERS,True,0,9,9
395,INADEQUACIES,INADEQUACLES,False,1,12,12
396,TEAMMATE,TEAMMATE,True,0,8,8
397,HARRIDANS,HARRIDANS,True,0,9,9
398,SAD,SAD,True,0,3,3
399,STABBERS,STABBERS,True,0,8,8
400,REINCORPORATED,REINCORPORATED,True,0,14,14
401,HOVEL,HOEL,False,1,5,4
402,ILLITERACY,ILLITERACY,True,0,10,10
403,DIGGINGS,DIGGINGS,True,0,8,8
404,COLLEGIATE,COLLEGIATE,True,0,10,10
405,BOMBSITE,HOMBSITE,False,1,8,8
406,DIFFIDENCE,DIFFIDENCE,True,0,10,10
407,EXPURGATIONS,EXPURGATIONS,True,0,12,12
408,DILLIES,DILLIES,True,0,7,7
409,REMARKS,REMARKS,True,0,7,7
410,GIDDILY,GIDDILY,True,0,7,7
411,SPAMMER,SPAMMER,True,0,7,7
412,CLEARNESS,CLEARNESS,True,0,9,9
413,FULSOMELY,FULSOMELY,True,0,9,9
414,COMPOSING,COMPOSING,True,0,9,9
415,758,758,True,0,3,3
416,FLAGRANCY,FLAGRANCY,True,0,9,9
417,PIERROT,PIERROT,True,0,7,7
418,GIBLET,GIBLET,True,0,6,6
419,BLUEISH,BLUEISH,True,0,7,7
420,DMITRI,DMITRI,True,0,6,6
421,SKEPTICS,STOPFICS,False,3,8,8
422,TURBOPROPS,FURBOPROPS,False,1,10,10
423,ALPHABETIZATION,ALPHABETIZATION,True,0,15,15
424,CLOVE,CLOVE,True,0,5,5
425,BACARDI,BACARI,False,1,7,6
426,ANTAGONISTIC,ANTAGONISTIC,True,0,12,12
427,SPATE,SPATE,True,0,5,5
428,OSLO,OSLO,True,0,4,4
429,ENACTS,ENACTS,True,0,6,6
430,CORKERS,CORKERS,True,0,7,7
431,ACTS,ACTS,True,0,4,4
432,MASHES,MASHES,True,0,6,6
433,MARGARITA,MARGARITA,True,0,9,9
434,MISAPPROPRIATING,SERAPROPRIATIN,False,5,16,14
435,CHIROGRAPHY,CHIROGRAPHY,True,0,11,11
436,BANK,BANK,True,0,4,4
437,TREELINE,TREELINE,True,0,8,8
438,CENTENNIAL,CENTENIAL,False,1,10,9
439,LITERATES,LITERATES,True,0,9,9
440,FORSAKEN,FORSAKEN,True,0,8,8
441,HELM,HELM,True,0,4,4
442,MAIDENS,MAIDENS,True,0,7,7
443,ORIGINATING,ORIGINATING,True,0,11,11
444,MARCHERS,MARCHERS,True,0,8,8
445,SHOVING,SHOVING,True,0,7,7
446,DRUBBER,DRUBBER,True,0,7,7
447,AVOIDANCE,AVOIDANCE,True,0,9,9
448,ANORECTIC,ANORECTIC,True,0,9,9
449,LEHMAN,LEHMAN,True,0,6,6
450,RESERVOIRS,RESERVOIRS,True,0,10,10
451,SOMEBODIES,SOMEBODIES,True,0,10,10
452,HARRIDANS,HARRIDANS,True,0,9,9
453,TOOTLING,TOOTLING,True,0,8,8
454,PALISH,PALISH,True,0,6,6
455,BANKROLLING,BANKROLLING,True,0,11,11
456,STARCHILY,STARCHILY,True,0,9,9
457,RUSK,RUSK,True,0,4,4
458,ENRON,ENRON,True,0,5,5
459,HABITATIONS,HABITATIONS,True,0,11,11
460,MANNHEIM,MANNHEIM,True,0,8,8
461,CALCULATORS,CALCULATORS,True,0,11,11
462,FLAGSHIP,FLAGSHIP,True,0,8,8
463,STICKLEBACK,STICKLEBACK,True,0,11,11
464,BLINIS,BLINIS,True,0,6,6
465,PITCHFORK,PITCHPORK,False,1,9,9
466,PIROUETTE,PIROUETTE,True,0,9,9
467,REHABILITATES,REHABILITATES,True,0,13,13
468,CONSONANTS,CONSONANTS,True,0,10,10
469,ENDORSEMENTS,ENDORSEMENTS,True,0,12,12
470,STOUTHEARTED,STOUTHEARTED,True,0,12,12
471,OSTEOPATH,OSTEOPATH,True,0,9,9
472,INTERLOCUTORS,INTERLOCUTORS,True,0,13,13
473,CLAQUE,CLAQUE,True,0,6,6
474,FACTORIZE,JUCTORIZE,False,2,9,9
475,INDUCES,INDUCES,True,0,7,7
476,UNWONTED,UNWONTED,True,0,8,8
477,BADDIE,BADDIE,True,0,6,6
478,SUCTIONING,SUCTIONING,True,0,10,10
479,SIMILARLY,SIMILARLY,True,0,9,9
480,GROOMER,GROOMER,True,0,7,7
481,PIQUE,PIQUE,True,0,5,5
482,ASTIGMATISM,ASTIGMATISM,True,0,11,11
483,PARTRIDGE,PARTRIDGE,True,0,9,9
484,WRONGFUL,URONGFUL,False,1,8,8
485,EXCHANGED,EXCHANGED,True,0,9,9
486,BYLINES,BYLINES,True,0,7,7
487,ASSAILS,ASSAILS,True,0,7,7
488,CHEEKED,CHEEKED,True,0,7,7
489,VEAL,VEAL,True,0,4,4
490,SPRINKLE,SPRINKLE,True,0,8,8
491,GOREY,GOREY,True,0,5,5
492,INFATUATING,INFATUATING,True,0,11,11
493,MOTIVE,MOTIVE,True,0,6,6
494,MISFITTED,MISFITTED,True,0,9,9
495,JUMPERS,JUMPERS,True,0,7,7
496,NONIDENTICAL,NONIDENTICAL,True,0,12,12
497,REGISTRATIONS,REGISTRATIONS,True,0,13,13
498,AVOCATIONS,AVOCATIONS,True,0,10,10
499,MERRITT,MERRITT,True,0,7,7
500,CONY,CONY,True,0,4,4
501,RETOLD,RETOLD,True,0,6,6
502,WEAKNESS,WEAKNESS,True,0,8,8
503,INFRA,INFRA,True,0,5,5
504,BERYLLIUM,BERYLLIUM,True,0,9,9
505,SHEATHE,SHEATHE,True,0,7,7
506,CUSTOMS,CUSTOMS,True,0,7,7
507,DREDGES,DREDGES,True,0,7,7
508,GRANDNESS,GRANDNESS,True,0,9,9
509,CARJACKERS,BARJACKERS,False,1,10,10
510,KENTUCKIANS,KENTUCRIANS,False,1,11,11
511,CASSEROLED,CASSEROLED,True,0,10,10
512,HALLOO,HALLOO,True,0,6,6
513,BATHING,BATHING,True,0,7,7
514,SMACK,SMACK,True,0,5,5
515,INCURABLY,INCURABLY,True,0,9,9
516,SHIFTS,SHIFTS,True,0,6,6
517,REPLICAS,REPLICAS,True,0,8,8
518,CYBERCAFE,CYBERCAFE,True,0,9,9
519,TABLESPOONFULS,RABLERPOONFULS,False,2,14,14
520,DONNA,DONNA,True,0,5,5
521,RADIANCE,RADIANCE,True,0,8,8
522,DIVVY,DIVVY,True,0,5,5
523,SEDATED,SEDATED,True,0,7,7
524,CHASTE,CHASTE,True,0,6,6
525,STAGES,STAGES,True,0,6,6
526,EUCLIDEAN,EUCLIDEAN,True,0,9,9
527,ELECTROMAGNETICALLY,LECTRONGNETICALLY,False,3,19,17
528,CARTHORSES,CARTHORSES,True,0,10,10
529,BASTES,BASTES,True,0,6,6
530,NEMBUTAL,NEMBUTAL,True,0,8,8
531,SCALLOPED,SCALLOPED,True,0,9,9
532,APPRAISER,APPRAISER,True,0,9,9
533,CONTRACTS,CONTRACTS,True,0,9,9
534,MAMBAS,MAMBAS,True,0,6,6
535,UNBEARABLY,UNBEARABLY,True,0,10,10
536,BROADENING,BROADENING,True,0,10,10
537,RESCINDS,RESCINDS,True,0,8,8
538,JERROD,JERROD,True,0,6,6
539,SUCTIONS,SUCTIONS,True,0,8,8
540,NONADHESIVE,NONADHESIVE,True,0,11,11
541,AGLITTER,AGLITTER,True,0,8,8
542,AZANIA,AZANIA,True,0,6,6
543,PLIOCENES,PLIOCENES,True,0,9,9
544,COZENAGE,CAZUAGE,False,3,8,7
545,LIEFER,LIEFER,True,0,6,6
546,OUTBOXES,OUTBOXES,True,0,8,8
547,KEYPADS,KEYPADS,True,0,7,7
548,BREWSTER,BREWSTER,True,0,8,8
549,MOLLUSK,MOLLUSK,True,0,7,7
550,LAVISHNESS,LAVISHNESS,True,0,10,10
551,POACHERS,POACHERS,True,0,8,8
552,POSTMISTRESS,POSTMISTRESS,True,0,12,12
553,TEXTURE,TEXTURE,True,0,7,7
554,AVENGING,AVENGING,True,0,8,8
555,SCUBAED,SCUBAED,True,0,7,7
556,MINDLESSNESS,MINDRESSNESS,False,1,12,12
557,DELINEATE,DELINEATE,True,0,9,9
558,SUMMERIER,SUMMERIER,True,0,9,9
559,CLARA,CLARA,True,0,5,5
560,TARRY,TARRY,True,0,5,5
561,WEATHERIZES,WEATHERIZES,True,0,11,11
562,CIRCUMVENT,CIRCUMVENT,True,0,10,10
563,GOBBLER,GOBBLER,True,0,7,7
